Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_003512505.1	Cyanobacteria bacterium UBA11440				UBA11440		NCBI Prokaryotic Genome Annotation Pipeline	1877552	Scaffold	2018-09-07	DOQK01
GCA_003519785.1	Cyanobacteria bacterium UBA11991				UBA11991		NCBI Prokaryotic Genome Annotation Pipeline	1379694	Scaffold	2018-09-10	DOWB01
GCA_003450835.1	Cyanobacteria bacterium UBA12227				UBA12227		NCBI Prokaryotic Genome Annotation Pipeline	6867788	Scaffold	2018-09-04	DMEQ01
GCA_003456125.1	Cyanobacteria bacterium UBA8156				UBA8156		NCBI Prokaryotic Genome Annotation Pipeline	2308179	Scaffold	2018-09-05	DMPD01
GCA_003503675.1	Cyanobacteria bacterium UBA8530				UBA8530		NCBI Prokaryotic Genome Annotation Pipeline	3328953	Scaffold	2018-09-07	DOBT01
GCA_003454535.1	Cyanobacteria bacterium UBA8543				UBA8543		NCBI Prokaryotic Genome Annotation Pipeline	8778461	Scaffold	2018-09-05	DMJW01
GCA_003444555.1	Cyanobacteria bacterium UBA8553				UBA8553		NCBI Prokaryotic Genome Annotation Pipeline	9206181	Scaffold	2018-09-04	DLUV01
GCA_003505715.1	Cyanobacteria bacterium UBA8803				UBA8803		NCBI Prokaryotic Genome Annotation Pipeline	8069533	Scaffold	2018-09-07	DNXU01
GCA_003520045.1	Cyanobacteria bacterium UBA9226				UBA9226		NCBI Prokaryotic Genome Annotation Pipeline	6622270	Scaffold	2018-09-10	DOVO01
GCA_003488275.1	Cyanobacteria bacterium UBA9273				UBA9273		NCBI Prokaryotic Genome Annotation Pipeline	7984810	Scaffold	2018-09-06	DNME01
GCA_003499585.1	Cyanobacteria bacterium UBA9579				UBA9579		NCBI Prokaryotic Genome Annotation Pipeline	2116713	Scaffold	2018-09-07	DNSU01
GCA_003499955.1	Cyanobacteria bacterium UBA9971				UBA9971		NCBI Prokaryotic Genome Annotation Pipeline	2243743	Scaffold	2018-09-07	DNRP01
GCA_003248995.1	Cyanobium sp.				ULC082bin1		NCBI Prokaryotic Genome Annotation Pipeline	2793401	Scaffold	2018-06-19	QBMG01
GCA_003249045.1	Cyanobium sp.				ULC065bin1		NCBI Prokaryotic Genome Annotation Pipeline	3088697	Scaffold	2018-06-19	QBMM01
GCA_003249115.1	Cyanobium sp.				ULC084bin3		NCBI Prokaryotic Genome Annotation Pipeline	2820113	Scaffold	2018-06-19	QBMD01
GCA_014191535.1	Cyanobium sp.				LBMAG_Cyanobacteria_epi.bin1		Annotation submitted by Center for Ecological Research, Kyoto University	1937170	Scaffold	2019-05-29	BJHC01
GCA_014191665.1	Cyanobium sp.				LBMAG_Cyanobacteria_epi.bin2		Annotation submitted by Center for Ecological Research, Kyoto University	2135503	Scaffold	2019-05-29	BJHD01
GCA_014191755.1	Cyanobium sp.				LBMAG_Cyanobacteria_epi.bin3		Annotation submitted by Center for Ecological Research, Kyoto University	3527805	Scaffold	2019-05-29	BJHE01
GCA_021298515.1	Cyanobium sp. 49614_E6				49614_E6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4037466	Scaffold	2021-12-27	JAJTFP01
GCA_024958715.1	Cyanobium sp. FGCU-52				FGCU-52		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3484714	Scaffold	2022-09-05	JANWUS01
GCA_024958655.1	Cyanobium sp. FGCU-6				FGCU-6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4074513	Scaffold	2022-09-05	JANWUR01
GCF_000155635.1	Cyanobium sp. PCC 7001		PCC 7001				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2834252	Scaffold	2008-08-29	ABSE01
GCA_000155635.1	Cyanobium sp. PCC 7001		PCC 7001				Annotation submitted by Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	2834252	Scaffold	2008-08-29	ABSE01
GCA_010672835.1	Cyanothece sp. SIO1E1				SIO1E1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	11117665	Scaffold	2020-02-16	JAAHFT01
GCA_010672345.1	Cyanothece sp. SIO2G6				SIO2G6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7031854	Scaffold	2020-02-16	JAAHGY01
GCA_003448685.1	Cyanothece sp. UBA12306				UBA12306		NCBI Prokaryotic Genome Annotation Pipeline	4649452	Scaffold	2018-09-04	DLXW01
GCF_002893155.1	Cylindrospermopsis raciborskii C03		C03				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3950189	Scaffold	2018-01-19	NJHU01
GCA_002893155.1	Cylindrospermopsis raciborskii C03		C03				NCBI Prokaryotic Genome Annotation Pipeline	3950189	Scaffold	2018-01-19	NJHU01
GCF_002893145.1	Cylindrospermopsis raciborskii C04		C04				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3954657	Scaffold	2018-01-19	NJHT01
GCA_002893145.1	Cylindrospermopsis raciborskii C04		C04				NCBI Prokaryotic Genome Annotation Pipeline	3954657	Scaffold	2018-01-19	NJHT01
GCF_002893125.1	Cylindrospermopsis raciborskii C07		C07				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3984544	Scaffold	2018-01-19	NJHS01
GCA_002893125.1	Cylindrospermopsis raciborskii C07		C07				NCBI Prokaryotic Genome Annotation Pipeline	3984544	Scaffold	2018-01-19	NJHS01
GCF_022496815.1	Cylindrospermopsis raciborskii CHAB3438		CHAB3438				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3544092	Scaffold	2022-03-07	WXUC01
GCA_022496815.1	Cylindrospermopsis raciborskii CHAB3438		CHAB3438				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3544092	Scaffold	2022-03-07	WXUC01
GCF_013867415.1	Cylindrospermopsis raciborskii CS-506_A		CS-506_A				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3788130	Scaffold	2020-07-28	VDFG01
GCA_013867415.1	Cylindrospermopsis raciborskii CS-506_A		CS-506_A				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3788130	Scaffold	2020-07-28	VDFG01
GCF_013867425.1	Cylindrospermopsis raciborskii CS-506_B		CS-506_B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3734857	Scaffold	2020-07-28	VDFF01
GCA_013867425.1	Cylindrospermopsis raciborskii CS-506_B		CS-506_B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3734857	Scaffold	2020-07-28	VDFF01
GCF_013867405.1	Cylindrospermopsis raciborskii CS-506_C		CS-506_C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3717675	Scaffold	2020-07-28	VDFE01
GCA_013867405.1	Cylindrospermopsis raciborskii CS-506_C		CS-506_C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3717675	Scaffold	2020-07-28	VDFE01
GCF_013867395.1	Cylindrospermopsis raciborskii CS-506_D		CS-506_D				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3767916	Scaffold	2020-07-28	VDFD01
GCA_013867395.1	Cylindrospermopsis raciborskii CS-506_D		CS-506_D				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3767916	Scaffold	2020-07-28	VDFD01
GCF_002321935.1	Cylindrospermopsis raciborskii CYLP		CYLP				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3972140	Scaffold	2017-09-21	NPIK01
GCA_002321935.1	Cylindrospermopsis raciborskii CYLP		CYLP					3972140	Scaffold	2017-09-21	NPIK01
GCF_002321945.1	Cylindrospermopsis raciborskii CYRF		CYRF				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4150048	Scaffold	2017-09-21	NPIL01
GCA_002321945.1	Cylindrospermopsis raciborskii CYRF		CYRF					4150048	Scaffold	2017-09-21	NPIL01
GCA_015708265.1	Cylindrospermopsis raciborskii KL1				KL1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3657391	Scaffold	2020-12-01	JADQCS01
GCF_002893285.1	Cylindrospermopsis raciborskii S01		S01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3839098	Scaffold	2018-01-19	NJIA01
GCA_002893285.1	Cylindrospermopsis raciborskii S01		S01				NCBI Prokaryotic Genome Annotation Pipeline	3839098	Scaffold	2018-01-19	NJIA01
GCF_002893265.1	Cylindrospermopsis raciborskii S05		S05				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3874245	Scaffold	2018-01-19	NJHZ01
GCA_002893265.1	Cylindrospermopsis raciborskii S05		S05				NCBI Prokaryotic Genome Annotation Pipeline	3874245	Scaffold	2018-01-19	NJHZ01
GCF_002893245.1	Cylindrospermopsis raciborskii S06		S06				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3895260	Scaffold	2018-01-19	NJHY01
GCA_002893245.1	Cylindrospermopsis raciborskii S06		S06				NCBI Prokaryotic Genome Annotation Pipeline	3895260	Scaffold	2018-01-19	NJHY01
GCF_002893205.1	Cylindrospermopsis raciborskii S07		S07				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3872123	Scaffold	2018-01-19	NJHX01
GCA_002893205.1	Cylindrospermopsis raciborskii S07		S07				NCBI Prokaryotic Genome Annotation Pipeline	3872123	Scaffold	2018-01-19	NJHX01
GCF_002893215.1	Cylindrospermopsis raciborskii S10		S10				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3872876	Scaffold	2018-01-19	NJHW01
GCA_002893215.1	Cylindrospermopsis raciborskii S10		S10				NCBI Prokaryotic Genome Annotation Pipeline	3872876	Scaffold	2018-01-19	NJHW01
GCF_002893185.1	Cylindrospermopsis raciborskii S14		S14				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3867562	Scaffold	2018-01-19	NJHV01
GCA_002893185.1	Cylindrospermopsis raciborskii S14		S14				NCBI Prokaryotic Genome Annotation Pipeline	3867562	Scaffold	2018-01-19	NJHV01
GCF_001432185.1	Cylindrospermopsis sp. CR12		CR12				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3723955	Scaffold	2015-11-05	LMVE01
GCA_001432185.1	Cylindrospermopsis sp. CR12		CR12				NCBI Prokaryotic Genome Annotation Pipeline	3723955	Scaffold	2015-11-05	LMVE01
GCF_016056275.1	Dendronalium phyllosphericum CENA369		CENA369				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8381979	Scaffold	2020-12-15	JAECZA01
GCA_016056275.1	Dendronalium phyllosphericum CENA369		CENA369				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8381979	Scaffold	2020-12-15	JAECZA01
GCA_010672635.1	Desertifilum sp. SIO1I2				SIO1I2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5780593	Scaffold	2020-02-16	JAAHGE01
GCF_019734875.1	Desmonostoc muscorum CCALA 125		CCALA 125				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8982067	Scaffold	2021-08-23	JACERF01
GCA_019734875.1	Desmonostoc muscorum CCALA 125		CCALA 125				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8982067	Scaffold	2021-08-23	JACERF01
GCF_000426905.1	Dolichospermum circinale AWQC131C		AWQC131C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4445648	Scaffold	2013-07-12	APIY01
GCA_000426905.1	Dolichospermum circinale AWQC131C		AWQC131C					4445648	Scaffold	2013-07-12	APIY01
GCF_000426925.1	Dolichospermum circinale AWQC310F		AWQC310F				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4405846	Scaffold	2013-07-12	APIZ01
GCA_000426925.1	Dolichospermum circinale AWQC310F		AWQC310F					4405846	Scaffold	2013-07-12	APIZ01
GCA_014654715.1	Dolichospermum circinale Clear-D4				Clear-D4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5029933	Scaffold	2020-09-18	JACVZX01
GCF_009712125.1	Dolichospermum flos-aquae UHCC 0037		UHCC 0037				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5563105	Scaffold	2019-11-27	VILF01
GCA_009712125.1	Dolichospermum flos-aquae UHCC 0037		UHCC 0037				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5563105	Scaffold	2019-11-27	VILF01
GCF_009712075.1	Dolichospermum planctonicum UHCC 0167		UHCC 0167				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4900328	Scaffold	2019-11-27	VILE01
GCA_009712075.1	Dolichospermum planctonicum UHCC 0167		UHCC 0167				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4900328	Scaffold	2019-11-27	VILE01
GCA_016462165.1	Dolichospermum sp.				SB001		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4311702	Scaffold	2021-01-03	JAEMTT01
GCF_009711935.1	Dolichospermum sp. UHCC 0259		UHCC 0259				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5635377	Scaffold	2019-11-27	VIKX01
GCA_009711935.1	Dolichospermum sp. UHCC 0259		UHCC 0259				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5635377	Scaffold	2019-11-27	VIKX01
GCF_009711985.1	Dolichospermum sp. UHCC 0260		UHCC 0260				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4921436	Scaffold	2019-11-27	VIKZ01
GCA_009711985.1	Dolichospermum sp. UHCC 0260		UHCC 0260				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4921436	Scaffold	2019-11-27	VIKZ01
GCF_009711965.1	Dolichospermum sp. UHCC 0299		UHCC 0299				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125448	Scaffold	2019-11-27	VIKV01
GCA_009711965.1	Dolichospermum sp. UHCC 0299		UHCC 0299				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125448	Scaffold	2019-11-27	VIKV01
GCF_009711925.1	Dolichospermum sp. UHCC 0352		UHCC 0352				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5128860	Scaffold	2019-11-27	VIKY01
GCA_009711925.1	Dolichospermum sp. UHCC 0352		UHCC 0352				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5128860	Scaffold	2019-11-27	VIKY01
GCF_009712025.1	Dolichospermum sp. UHCC 0406		UHCC 0406				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5181811	Scaffold	2019-11-27	VILA01
GCA_009712025.1	Dolichospermum sp. UHCC 0406		UHCC 0406				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5181811	Scaffold	2019-11-27	VILA01
GCA_002900215.1	Euhalothece sp. KZN 001		KZN 001				NCBI Prokaryotic Genome Annotation Pipeline	5113178	Scaffold	2018-01-25	MDVL01
GCF_001904645.1	Fischerella major NIES-592		NIES-592				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5639496	Scaffold	2016-12-14	MRCA01
GCA_001904645.1	Fischerella major NIES-592		NIES-592				NCBI Prokaryotic Genome Annotation Pipeline	5639496	Scaffold	2016-12-14	MRCA01
GCF_002870665.1	Fischerella muscicola CCMEE 5323		CCMEE 5323				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6758464	Scaffold	2018-01-10	NRQW01
GCA_002870665.1	Fischerella muscicola CCMEE 5323		CCMEE 5323				NCBI Prokaryotic Genome Annotation Pipeline	6758464	Scaffold	2018-01-10	NRQW01
GCF_000315585.1	Fischerella sp. PCC 9339		PCC 9339				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8008257	Scaffold	2012-11-30	ALVS01
GCA_000315585.1	Fischerella sp. PCC 9339		PCC 9339					8008257	Scaffold	2012-11-30	ALVS01
GCF_000447295.1	Fischerella sp. PCC 9431		PCC 9431				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7167426	Scaffold	2013-08-15	ALVX01
GCA_000447295.1	Fischerella sp. PCC 9431		PCC 9431					7167426	Scaffold	2013-08-15	ALVX01
GCF_000517105.1	Fischerella sp. PCC 9605		PCC 9605				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8079181	Scaffold	2014-01-08	ALVT01
GCA_000517105.1	Fischerella sp. PCC 9605		PCC 9605					8079181	Scaffold	2014-01-08	ALVT01
GCF_003346965.1	Fischerella thermalis 111/344/542		111/344/542				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5452329	Scaffold	2018-07-31	NGAA01
GCA_003346965.1	Fischerella thermalis 111/344/542		111/344/542				NCBI Prokaryotic Genome Annotation Pipeline	5452329	Scaffold	2018-07-31	NGAA01
GCF_002870705.1	Fischerella thermalis BR2B		BR2B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5321124	Scaffold	2018-01-10	NMQG01
GCA_002870705.1	Fischerella thermalis BR2B		BR2B				NCBI Prokaryotic Genome Annotation Pipeline	5321124	Scaffold	2018-01-10	NMQG01
GCF_002870795.1	Fischerella thermalis CCMEE 5194		CCMEE 5194				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5168941	Scaffold	2018-01-10	NQME01
GCA_002870795.1	Fischerella thermalis CCMEE 5194		CCMEE 5194				NCBI Prokaryotic Genome Annotation Pipeline	5168941	Scaffold	2018-01-10	NQME01
GCA_002870825.1	Fischerella thermalis CCMEE 5196		CCMEE 5196				NCBI Prokaryotic Genome Annotation Pipeline	4995964	Scaffold	2018-01-10	NQMD01
GCF_002870635.1	Fischerella thermalis CCMEE 5198		CCMEE 5198				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5074053	Scaffold	2018-01-10	NMQF01
GCA_002870635.1	Fischerella thermalis CCMEE 5198		CCMEE 5198				NCBI Prokaryotic Genome Annotation Pipeline	5074053	Scaffold	2018-01-10	NMQF01
GCF_002870755.1	Fischerella thermalis CCMEE 5208		CCMEE 5208				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5356884	Scaffold	2018-01-10	NMQH01
GCA_002870755.1	Fischerella thermalis CCMEE 5208		CCMEE 5208				NCBI Prokaryotic Genome Annotation Pipeline	5356884	Scaffold	2018-01-10	NMQH01
GCF_002870565.1	Fischerella thermalis CCMEE 5268		CCMEE 5268				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5913697	Scaffold	2018-01-10	NMQA01
GCA_002870565.1	Fischerella thermalis CCMEE 5268		CCMEE 5268				NCBI Prokaryotic Genome Annotation Pipeline	5913697	Scaffold	2018-01-10	NMQA01
GCF_002870615.1	Fischerella thermalis CCMEE 5282		CCMEE 5282				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5341442	Scaffold	2018-01-10	NMQC01
GCA_002870615.1	Fischerella thermalis CCMEE 5282		CCMEE 5282				NCBI Prokaryotic Genome Annotation Pipeline	5341442	Scaffold	2018-01-10	NMQC01
GCF_002870675.1	Fischerella thermalis CCMEE 5318		CCMEE 5318				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6197867	Scaffold	2018-01-10	NMQE01
GCA_002870675.1	Fischerella thermalis CCMEE 5318		CCMEE 5318				NCBI Prokaryotic Genome Annotation Pipeline	6197867	Scaffold	2018-01-10	NMQE01
GCF_002870525.1	Fischerella thermalis WC1110		WC1110				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5399690	Scaffold	2018-01-10	NGZS01
GCA_002870525.1	Fischerella thermalis WC1110		WC1110				NCBI Prokaryotic Genome Annotation Pipeline	5399690	Scaffold	2018-01-10	NGZS01
GCF_002870545.1	Fischerella thermalis WC114		WC114				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5332626	Scaffold	2018-01-10	NGZU01
GCA_002870545.1	Fischerella thermalis WC114		WC114				NCBI Prokaryotic Genome Annotation Pipeline	5332626	Scaffold	2018-01-10	NGZU01
GCF_002870265.1	Fischerella thermalis WC119		WC119				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5343510	Scaffold	2018-01-10	NGZT01
GCA_002870265.1	Fischerella thermalis WC119		WC119				NCBI Prokaryotic Genome Annotation Pipeline	5343510	Scaffold	2018-01-10	NGZT01
GCF_002870305.1	Fischerella thermalis WC157		WC157				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5375759	Scaffold	2018-01-10	NGZV01
GCA_002870305.1	Fischerella thermalis WC157		WC157				NCBI Prokaryotic Genome Annotation Pipeline	5375759	Scaffold	2018-01-10	NGZV01
GCF_002870255.1	Fischerella thermalis WC213		WC213				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5351095	Scaffold	2018-01-10	NHAK01
GCA_002870255.1	Fischerella thermalis WC213		WC213				NCBI Prokaryotic Genome Annotation Pipeline	5351095	Scaffold	2018-01-10	NHAK01
GCA_002870245.1	Fischerella thermalis WC217		WC217				NCBI Prokaryotic Genome Annotation Pipeline	5672409	Scaffold	2018-01-10	NHAJ01
GCF_002870505.1	Fischerella thermalis WC245		WC245				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5304471	Scaffold	2018-01-10	NHAI01
GCA_002870505.1	Fischerella thermalis WC245		WC245				NCBI Prokaryotic Genome Annotation Pipeline	5304471	Scaffold	2018-01-10	NHAI01
GCF_002870185.1	Fischerella thermalis WC246		WC246				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5369433	Scaffold	2018-01-10	NHAH01
GCA_002870185.1	Fischerella thermalis WC246		WC246				NCBI Prokaryotic Genome Annotation Pipeline	5369433	Scaffold	2018-01-10	NHAH01
GCF_002870465.1	Fischerella thermalis WC249		WC249				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5327607	Scaffold	2018-01-10	NHAG01
GCA_002870465.1	Fischerella thermalis WC249		WC249				NCBI Prokaryotic Genome Annotation Pipeline	5327607	Scaffold	2018-01-10	NHAG01
GCF_002870345.1	Fischerella thermalis WC341		WC341				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5398744	Scaffold	2018-01-10	NGZW01
GCA_002870345.1	Fischerella thermalis WC341		WC341				NCBI Prokaryotic Genome Annotation Pipeline	5398744	Scaffold	2018-01-10	NGZW01
GCF_002870445.1	Fischerella thermalis WC344		WC344				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5426915	Scaffold	2018-01-10	NHAF01
GCA_002870445.1	Fischerella thermalis WC344		WC344				NCBI Prokaryotic Genome Annotation Pipeline	5426915	Scaffold	2018-01-10	NHAF01
GCF_002870475.1	Fischerella thermalis WC439		WC439				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5336250	Scaffold	2018-01-10	NHAE01
GCA_002870475.1	Fischerella thermalis WC439		WC439				NCBI Prokaryotic Genome Annotation Pipeline	5336250	Scaffold	2018-01-10	NHAE01
GCF_002870205.1	Fischerella thermalis WC441		WC441				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5506947	Scaffold	2018-01-10	NHAD01
GCA_002870205.1	Fischerella thermalis WC441		WC441				NCBI Prokaryotic Genome Annotation Pipeline	5506947	Scaffold	2018-01-10	NHAD01
GCF_002870415.1	Fischerella thermalis WC442		WC442				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5311703	Scaffold	2018-01-10	NHAC01
GCA_002870415.1	Fischerella thermalis WC442		WC442				NCBI Prokaryotic Genome Annotation Pipeline	5311703	Scaffold	2018-01-10	NHAC01
GCF_002870405.1	Fischerella thermalis WC527		WC527				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5405800	Scaffold	2018-01-10	NHAB01
GCA_002870405.1	Fischerella thermalis WC527		WC527				NCBI Prokaryotic Genome Annotation Pipeline	5405800	Scaffold	2018-01-10	NHAB01
GCF_002870325.1	Fischerella thermalis WC538		WC538				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5411116	Scaffold	2018-01-10	NHAA01
GCA_002870325.1	Fischerella thermalis WC538		WC538				NCBI Prokaryotic Genome Annotation Pipeline	5411116	Scaffold	2018-01-10	NHAA01
GCF_002870385.1	Fischerella thermalis WC542		WC542				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5493527	Scaffold	2018-01-10	NGZZ01
GCA_002870385.1	Fischerella thermalis WC542		WC542				NCBI Prokaryotic Genome Annotation Pipeline	5493527	Scaffold	2018-01-10	NGZZ01
GCF_002870365.1	Fischerella thermalis WC558		WC558				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5282445	Scaffold	2018-01-10	NGZY01
GCA_002870365.1	Fischerella thermalis WC558		WC558				NCBI Prokaryotic Genome Annotation Pipeline	5282445	Scaffold	2018-01-10	NGZY01
GCF_002870195.1	Fischerella thermalis WC559		WC559				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5270127	Scaffold	2018-01-10	NGZX01
GCA_002870195.1	Fischerella thermalis WC559		WC559				NCBI Prokaryotic Genome Annotation Pipeline	5270127	Scaffold	2018-01-10	NGZX01
GCF_000332295.1	Fortiea contorta PCC 7126		PCC 7126				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5742264	Scaffold	2013-01-22	ANFJ01
GCA_000332295.1	Fortiea contorta PCC 7126		PCC 7126					5742264	Scaffold	2013-01-22	ANFJ01
GCF_001870905.1	Geitlerinema sp. PCC 9228		PCC 9228				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4795982	Scaffold	2016-11-08	LNDC01
GCA_001870905.1	Geitlerinema sp. PCC 9228		PCC 9228					4795982	Scaffold	2016-11-08	LNDC01
GCA_025055395.1	Geminocystis sp.				SKYG4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2865871	Scaffold	2022-09-07	JANWXF01
GCA_025058545.1	Geminocystis sp.				SKYB97		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2840122	Scaffold	2022-09-07	JANXDF01
GCA_016743215.1	Geminocystis sp. GBBB08				GBBB08		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4101793	Scaffold	2021-01-22	VRZC01
GCA_025062155.1	Gloeomargarita sp. SKYB120				SKYB120		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2483162	Scaffold	2022-09-07	JANXAM01
GCA_025060435.1	Gloeomargarita sp. SKYB31				SKYB31		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1814713	Scaffold	2022-09-07	JANXBM01
GCA_025056115.1	Gloeomargarita sp. SKYG116				SKYG116		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2365809	Scaffold	2022-09-07	JANWVM01
GCA_025054555.1	Gloeomargarita sp. SKYG98				SKYG98		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1893569	Scaffold	2022-09-07	JANWZP01
GCF_001275395.1	Hapalosiphon sp. MRB220		MRB220				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7429720	Scaffold	2015-08-27	LIRN01
GCA_001275395.1	Hapalosiphon sp. MRB220		MRB220				NCBI Prokaryotic Genome Annotation Pipeline	7429720	Scaffold	2015-08-27	LIRN01
GCA_003261315.1	Hapalosiphonaceae cyanobacterium JJU2				JJU2		NCBI Prokaryotic Genome Annotation Pipeline	7145071	Scaffold	2018-06-25	QLKN01
GCF_000817785.2	Hassallia byssoidea VB512170		VB512170				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7501515	Scaffold	2020-02-18	JTCM02
GCA_000817785.2	Hassallia byssoidea VB512170		VB512170				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7501515	Scaffold	2020-02-18	JTCM02
GCA_014323895.1	Hormoscilla sp. GM102CHS1				GM102CHS1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5041890	Scaffold	2020-08-28	JACONF01
GCA_005518205.2	Hormoscilla sp. GUM202				GUM202		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6869623	Scaffold	2021-03-17	RFFC02
