Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_002114155.1	Cylindrospermopsis raciborskii CENA303		CENA303				NCBI Prokaryotic Genome Annotation Pipeline	3398605	Contig	2017-04-28	NBYN01
GCF_000175835.1	Cylindrospermopsis raciborskii CS-505		CS-505				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3879030	Contig	2009-12-15	ACYA01
GCF_001676585.1	Cylindrospermopsis raciborskii CS-505		CS505				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4159260	Contig	2016-06-24	LYXA01
GCA_000175835.1	Cylindrospermopsis raciborskii CS-505		CS-505				Annotation submitted by FLI Jena	3879030	Contig	2009-12-15	ACYA01
GCA_001676585.1	Cylindrospermopsis raciborskii CS-505		CS505				NCBI Prokaryotic Genome Annotation Pipeline	4159260	Contig	2016-06-24	LYXA01
GCF_001858115.1	Cylindrospermopsis raciborskii CS-508		CS-508				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3556598	Contig	2016-11-01	MBQX01
GCA_001858115.1	Cylindrospermopsis raciborskii CS-508		CS-508				NCBI Prokaryotic Genome Annotation Pipeline	3556598	Contig	2016-11-01	MBQX01
GCF_006523545.1	Cylindrospermopsis raciborskii GIHE 2018		GIHE 2018				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3629822	Contig	2019-07-01	VHLJ01
GCA_006523545.1	Cylindrospermopsis raciborskii GIHE 2018		GIHE 2018				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3629822	Contig	2019-07-01	VHLJ01
GCF_001586755.1	Cylindrospermopsis raciborskii ITEP-A1		ITEP-A1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3605836	Contig	2016-03-10	LUBZ01
GCA_001586755.1	Cylindrospermopsis raciborskii ITEP-A1		ITEP-A1					3605836	Contig	2016-03-10	LUBZ01
GCF_001858125.1	Cylindrospermopsis raciborskii MVCC14		MVCC14				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3594524	Contig	2016-11-01	MBQY01
GCA_001858125.1	Cylindrospermopsis raciborskii MVCC14		MVCC14				NCBI Prokaryotic Genome Annotation Pipeline	3594524	Contig	2016-11-01	MBQY01
GCF_012583295.1	Cylindrospermopsis raciborskii MVCC19		MVCC19				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3515201	Contig	2020-04-20	VIRO01
GCA_012583295.1	Cylindrospermopsis raciborskii MVCC19		MVCC19				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3515201	Contig	2020-04-20	VIRO01
GCF_014697195.1	Cylindrospermum sp. FACHB-282		FACHB-282				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6103615	Contig	2020-09-22	JACJRJ01
GCA_014697195.1	Cylindrospermum sp. FACHB-282		FACHB-282				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6103615	Contig	2020-09-22	JACJRJ01
GCA_021208125.1	Desertifilum sp.				S8C857		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6081257	Contig	2021-12-14	JAJOKC01
GCF_014696935.1	Desertifilum sp. FACHB-1129		FACHB-1129				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6291339	Contig	2020-09-22	JACJQZ01
GCA_014696935.1	Desertifilum sp. FACHB-1129		FACHB-1129				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6291339	Contig	2020-09-22	JACJQZ01
GCF_014696985.1	Desertifilum sp. FACHB-866		FACHB-866				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6298376	Contig	2020-09-22	JACJRA01
GCA_014696985.1	Desertifilum sp. FACHB-866		FACHB-866				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6298376	Contig	2020-09-22	JACJRA01
GCF_014697015.1	Desertifilum sp. FACHB-868		FACHB-868				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6313743	Contig	2020-09-22	JACJRB01
GCA_014697015.1	Desertifilum sp. FACHB-868		FACHB-868				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6313743	Contig	2020-09-22	JACJRB01
GCF_001746915.1	Desertifilum sp. IPPAS B-1220		IPPAS B-1220				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6090726	Contig	2016-09-26	MJGC01
GCA_001746915.1	Desertifilum sp. IPPAS B-1220		IPPAS B-1220				NCBI Prokaryotic Genome Annotation Pipeline	6090726	Contig	2016-09-26	MJGC01
GCA_019359545.1	Desmonostoc geniculatum HA4340-LM1				HA4340-LM1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7360734	Contig	2021-07-27	JAHHHB01
GCF_014698035.1	Desmonostoc muscorum FACHB-395		FACHB-395				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9434434	Contig	2020-09-22	JACJSF01
GCA_014698035.1	Desmonostoc muscorum FACHB-395		FACHB-395				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9434434	Contig	2020-09-22	JACJSF01
GCF_015207005.2	Desmonostoc muscorum LEGE 12446		LEGE 12446				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9635616	Contig	2022-01-18	JADEXS02
GCA_015207005.2	Desmonostoc muscorum LEGE 12446		LEGE 12446				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9635616	Contig	2022-01-18	JADEXS02
GCA_019359515.1	Desmonostoc vinosum HA7617-LM4				HA7617-LM4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7214837	Contig	2021-07-27	JAHHHC01
GCF_015207785.1	Dolichospermum flos-aquae LEGE 04289		LEGE 04289				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4435098	Contig	2020-11-02	JADEWF01
GCA_015207785.1	Dolichospermum flos-aquae LEGE 04289		LEGE 04289				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4435098	Contig	2020-11-02	JADEWF01
GCF_005402965.1	Dolichospermum planctonicum		NIES-80				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4571002	Contig	2019-03-18	BJCF01
GCA_005402965.1	Dolichospermum planctonicum		NIES-80				Annotation submitted by National Institute for Environmental Studies	4571002	Contig	2019-03-18	BJCF01
GCA_024998765.1	Dolichospermum sp.				OL02		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5275381	Contig	2022-09-06	JACEUV01
GCA_017355625.1	Dolichospermum sp. DET73				DET73		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5233469	Contig	2021-03-15	JAAVVX01
GCA_017355645.1	Dolichospermum sp. DEX182a				DEX182a		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5014232	Contig	2021-03-15	JAAVVT01
GCA_017355655.1	Dolichospermum sp. DEX189				DEX189		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6054507	Contig	2021-03-15	JAAVVU01
GCF_014697585.1	Dolichospermum sp. FACHB-1091		FACHB-1091				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4516276	Contig	2020-09-22	JACJSB01
GCA_014697585.1	Dolichospermum sp. FACHB-1091		FACHB-1091				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4516276	Contig	2020-09-22	JACJSB01
GCA_017355635.1	Dolichospermum sp. JUN01				JUN01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5023336	Contig	2021-03-15	JAAVVY01
GCF_015207875.1	Dolichospermum sp. LEGE 00240		LEGE 00240				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5192325	Contig	2020-11-02	JADEVZ01
GCA_015207875.1	Dolichospermum sp. LEGE 00240		LEGE 00240				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5192325	Contig	2020-11-02	JADEVZ01
GCF_015207865.1	Dolichospermum sp. LEGE 00246		LEGE 00246				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5708300	Contig	2020-11-02	JADEWA01
GCA_015207865.1	Dolichospermum sp. LEGE 00246		LEGE 00246				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5708300	Contig	2020-11-02	JADEWA01
GCA_019359505.1	Drouetiella hepatica Uher 2000/2452				UHER 2000/2452		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6416890	Contig	2021-07-27	JAHHHD01
GCA_015272495.1	Elainella sp. C42_A2020_010				C42_A2020_010		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7459088	Contig	2020-11-06	JACYLO01
GCF_000317205.1	Fischerella muscicola PCC 7414		PCC 7414				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6902954	Contig	2012-12-05	AJLK01
GCA_000317205.1	Fischerella muscicola PCC 7414		PCC 7414					6902954	Contig	2012-12-05	AJLK01
GCF_000317245.1	Fischerella muscicola SAG 1427-1 = PCC 73103		SAG 1427-1 = PCC 73103				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7360256	Contig	2012-12-05	AJLJ01
GCA_000317245.1	Fischerella muscicola SAG 1427-1 = PCC 73103		SAG 1427-1 = PCC 73103					7360256	Contig	2012-12-05	AJLJ01
GCA_013388695.1	Fischerella sp.				L.E.CL.63		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5997683	Contig	2020-07-04	JACAEU01
GCA_024239075.1	Fischerella sp. CENA71				CENA71		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7465651	Contig	2022-07-12	JANBVI01
GCF_014697535.1	Fischerella sp. FACHB-380		FACHB-380				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6910048	Contig	2020-09-22	JACJRZ01
GCA_014697535.1	Fischerella sp. FACHB-380		FACHB-380				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6910048	Contig	2020-09-22	JACJRZ01
GCA_002870845.1	Fischerella thermalis CCMEE 5328		CCMEE 5328				NCBI Prokaryotic Genome Annotation Pipeline	4837129	Contig	2018-01-10	NQMF01
GCF_002870725.1	Fischerella thermalis CCMEE 5330		CCMEE 5330				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5725024	Contig	2018-01-10	NMQI01
GCA_002870725.1	Fischerella thermalis CCMEE 5330		CCMEE 5330				NCBI Prokaryotic Genome Annotation Pipeline	5725024	Contig	2018-01-10	NMQI01
GCF_000231365.1	Fischerella thermalis JSC-11		JSC-11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5380000	Contig	2011-10-21	AGIZ01
GCA_000231365.2	Fischerella thermalis JSC-11		JSC-11				Annotation submitted by DOE Joint Genome Institute	5380000	Contig	2011-10-21	AGIZ01
GCA_015272315.1	Fischerella thermalis M48_A2018_028				M48_A2018_028		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5141023	Contig	2020-11-06	JACYLX01
GCA_015272275.1	Fischerella thermalis M58_A2018_009				M58_A2018_009		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5203860	Contig	2020-11-06	JACYLY01
GCA_015272255.1	Fischerella thermalis M66_A2018_004				M66_A2018_004		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5271540	Contig	2020-11-06	JACYMA01
GCF_000317225.1	Fischerella thermalis PCC 7521		PCC 7521				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5438272	Contig	2012-12-05	AJLL01
GCA_000317225.1	Fischerella thermalis PCC 7521		PCC 7521					5438272	Contig	2012-12-05	AJLL01
GCF_015206815.1	Fortiea sp. LEGE XX443		LEGE XX443				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6082847	Contig	2020-11-02	JADEXZ01
GCA_015206815.1	Fortiea sp. LEGE XX443		LEGE XX443				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6082847	Contig	2020-11-02	JADEXZ01
GCA_015295805.1	Geminocystis sp. M7585_C2015_104				M7585_C2015_104		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2823523	Contig	2020-11-09	DVEF01
GCA_014380935.1	Gloeobacterales cyanobacterium ES-bin-141				ES-bin-141		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3765617	Contig	2020-09-01	JACMIX01
GCA_014379585.1	Gloeobacterales cyanobacterium ES-bin-313				ES-bin-313		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4258318	Contig	2020-09-01	JACMLN01
GCA_007693955.1	Gloeocapsa sp. DLM2.Bin57				DLM2.Bin57		NCBI Prokaryotic Genome Annotation Pipeline	3451834	Contig	2019-07-30	RECR01
GCF_000332035.1	Gloeocapsa sp. PCC 73106		PCC 73106				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4025114	Contig	2013-01-17	ALVY01
GCA_000332035.1	Gloeocapsa sp. PCC 73106		PCC 73106				Annotation submitted by JGI	4025114	Contig	2013-01-17	ALVY01
GCA_019359535.1	Gloeocapsa sp. UFS-A4-WI-NPMV-4B04				UFS-A4-WI-NPMV-4B04		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5150405	Contig	2021-07-27	JAHHHE01
GCF_015207655.1	Gloeocapsopsis crepidinum LEGE 06123		LEGE 06123				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5669830	Contig	2020-11-02	JADEWN01
GCA_015207655.1	Gloeocapsopsis crepidinum LEGE 06123		LEGE 06123				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5669830	Contig	2020-11-02	JADEWN01
GCF_002964865.1	Gloeocapsopsis dulcis AAB1 = 1H9		AAB1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5443570	Contig	2018-02-28	PTJN01
GCF_009728615.1	Gloeocapsopsis dulcis AAB1 = 1H9		1H9				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5478916	Contig	2019-12-03	NAPY01
GCA_002964865.1	Gloeocapsopsis dulcis AAB1 = 1H9		AAB1					5443570	Contig	2018-02-28	PTJN01
GCA_009728615.1	Gloeocapsopsis dulcis AAB1 = 1H9		1H9				NCBI Prokaryotic Genome Annotation Pipeline	5478916	Contig	2019-12-03	NAPY01
GCA_015272465.1	Gloeomargaritaceae cyanobacterium C42_A2020_066				C42_A2020_066		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2730382	Contig	2020-11-06	JACYLR01
GCA_023657325.1	Gloeotrichia echinulata DEX184				DEX184		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7282189	Contig	2022-06-06	JAGTJV01
GCA_019359495.1	Goleter apudmare HA4340-LM2				HA4340-LM2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6711310	Contig	2021-07-27	JAHHHF01
GCA_016903655.1	Gomphosphaeria aponina SAG 52.96 = DSM 107014				JP213		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3666116	Contig	2021-02-17	JADQBC01
GCF_016888165.1	Halomicronema sp. CCY15110		CCY15110				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6149393	Contig	2021-02-13	JACSWC01
GCA_016888165.1	Halomicronema sp. CCY15110		CCY15110					6149393	Contig	2021-02-13	JACSWC01
GCA_019359425.1	Hassallia sp. WJT32-NPBG1				WJT32-NPBG1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7130572	Contig	2021-07-27	JAHHHG01
GCA_014323675.1	Hormoscilla sp. GM7CHS1pb				GM7CHS1pb		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6406893	Contig	2020-08-28	JACONN01
GCA_015272405.1	Hydrococcus sp. C42_A2020_068				C42_A2020_068		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4917303	Contig	2020-11-06	JACYLS01
GCA_012034135.1	Hydrococcus sp. CRU_1_1				CRU_1_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6270348	Contig	2020-04-05	JAAUOG01
GCA_012034605.1	Hydrococcus sp. CSU_1_8				CSU_1_8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3282274	Contig	2020-04-06	JAAUPD01
GCA_012033545.1	Hydrococcus sp. RM1_1_31				RM1_1_31		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1747938	Contig	2020-04-05	JAAUQM01
GCA_012031055.1	Hydrococcus sp. SU_1_0				SU_1_0		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3371524	Contig	2020-04-05	JAAUUS01
GCA_012034765.1	Hyellaceae cyanobacterium CSU_1_1				CSU_1_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4614202	Contig	2020-04-06	JAAUOU01
GCA_019359415.1	Iphinoe sp. HA4291-MV1				HA4291-MV1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7360925	Contig	2021-07-27	JAHHHH01
GCF_000180455.1	Kamptonema sp. PCC 6506		PCC 6506				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6676705	Contig	2010-07-08	CACA01
GCA_000180455.1	Kamptonema sp. PCC 6506		PCC 6506				Annotation submitted by ENSCP, Biochemistry, Paris, France	6676705	Contig	2010-07-08	CACA01
GCA_010692335.1	Kamptonema sp. SIO4C4				SIO4C4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3304886	Contig	2020-02-16	JAAHIB01
GCA_019359445.1	Kastovskya adunca ATA6-11-RM4				ATA6-11-RM4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5085095	Contig	2021-07-27	JAHHHJ01
GCA_019359395.1	Komarekiella atlantica HA4396-MV6				HA4396-MV6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7783819	Contig	2021-07-27	JAHHHK01
GCF_015207065.1	Leptolyngbya cf. ectocarpi LEGE 11479		LEGE 11479				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6774485	Contig	2020-11-02	JADEXP01
GCA_015207065.1	Leptolyngbya cf. ectocarpi LEGE 11479		LEGE 11479				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6774485	Contig	2020-11-02	JADEXP01
GCA_014338235.1	Leptolyngbya sp.				CYN1		NCBI Prokaryotic Genome Annotation Pipeline	2367215	Contig	2020-08-31	QUBX01
GCF_001939115.1	Leptolyngbya sp. 'hensonii'		hensonii				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5940030	Contig	2017-01-06	MQTZ01
GCA_001939115.1	Leptolyngbya sp. 'hensonii'		hensonii				NCBI Prokaryotic Genome Annotation Pipeline	5940030	Contig	2017-01-06	MQTZ01
GCF_002286735.1	Leptolyngbya sp. BC1307		BC1307				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4916582	Contig	2017-09-06	NRTA01
GCA_002286735.1	Leptolyngbya sp. BC1307		BC1307					4916582	Contig	2017-09-06	NRTA01
GCF_016888135.1	Leptolyngbya sp. CCY15150		CCY15150				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5756177	Contig	2021-02-13	JACSWB01
GCA_016888135.1	Leptolyngbya sp. CCY15150		CCY15150					5756177	Contig	2021-02-13	JACSWB01
GCA_007694125.1	Leptolyngbya sp. DLM2.Bin15				DLM2.Bin15		NCBI Prokaryotic Genome Annotation Pipeline	5006105	Contig	2019-07-30	RECH01
GCA_007694115.1	Leptolyngbya sp. DLM2.Bin27				DLM2.Bin27		NCBI Prokaryotic Genome Annotation Pipeline	4277754	Contig	2019-07-30	RECJ01
GCA_014380065.1	Leptolyngbya sp. ES-bin-22				ES-bin-22		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5129489	Contig	2020-09-01	JACMKO01
GCF_014696095.1	Leptolyngbya sp. FACHB-16		FACHB-16				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8006770	Contig	2020-09-22	JACJPN01
GCA_014696095.1	Leptolyngbya sp. FACHB-16		FACHB-16				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8006770	Contig	2020-09-22	JACJPN01
GCF_014697225.1	Leptolyngbya sp. FACHB-161		FACHB-161				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6743911	Contig	2020-09-22	JACJRK01
GCA_014697225.1	Leptolyngbya sp. FACHB-161		FACHB-161				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6743911	Contig	2020-09-22	JACJRK01
GCF_014695405.1	Leptolyngbya sp. FACHB-1624		FACHB-1624				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6648037	Contig	2020-09-22	JACJOE01
GCA_014695405.1	Leptolyngbya sp. FACHB-1624		FACHB-1624				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6648037	Contig	2020-09-22	JACJOE01
GCF_014696055.1	Leptolyngbya sp. FACHB-17		FACHB-17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5574121	Contig	2020-09-22	JACJPM01
GCA_014696055.1	Leptolyngbya sp. FACHB-17		FACHB-17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5574121	Contig	2020-09-22	JACJPM01
GCF_014697285.1	Leptolyngbya sp. FACHB-238		FACHB-238				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7173154	Contig	2020-09-22	JACJRN01
GCA_014697285.1	Leptolyngbya sp. FACHB-238		FACHB-238				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7173154	Contig	2020-09-22	JACJRN01
GCF_014697265.1	Leptolyngbya sp. FACHB-239		FACHB-239				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7147343	Contig	2020-09-22	JACJRM01
GCA_014697265.1	Leptolyngbya sp. FACHB-239		FACHB-239				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7147343	Contig	2020-09-22	JACJRM01
GCF_014696065.1	Leptolyngbya sp. FACHB-261		FACHB-261				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6948627	Contig	2020-09-22	JACJPL01
GCA_014696065.1	Leptolyngbya sp. FACHB-261		FACHB-261				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6948627	Contig	2020-09-22	JACJPL01
GCF_014695975.1	Leptolyngbya sp. FACHB-321		FACHB-321				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6715002	Contig	2020-09-22	JACJPI01
GCA_014695975.1	Leptolyngbya sp. FACHB-321		FACHB-321				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6715002	Contig	2020-09-22	JACJPI01
GCF_014695955.1	Leptolyngbya sp. FACHB-36		FACHB-36				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4261785	Contig	2020-09-22	JACJPG01
GCA_014695955.1	Leptolyngbya sp. FACHB-36		FACHB-36				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4261785	Contig	2020-09-22	JACJPG01
GCF_014697245.1	Leptolyngbya sp. FACHB-402		FACHB-402				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7138201	Contig	2020-09-22	JACJRL01
GCA_014697245.1	Leptolyngbya sp. FACHB-402		FACHB-402				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7138201	Contig	2020-09-22	JACJRL01
GCF_014695875.1	Leptolyngbya sp. FACHB-541		FACHB-541				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7578435	Contig	2020-09-22	JACJPC01
GCA_014695875.1	Leptolyngbya sp. FACHB-541		FACHB-541				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7578435	Contig	2020-09-22	JACJPC01
GCF_014695775.1	Leptolyngbya sp. FACHB-60		FACHB-60				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5913379	Contig	2020-09-22	JACJOX01
GCA_014695775.1	Leptolyngbya sp. FACHB-60		FACHB-60				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5913379	Contig	2020-09-22	JACJOX01
GCF_014695745.1	Leptolyngbya sp. FACHB-671		FACHB-671				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7360226	Contig	2020-09-22	JACJOV01
GCA_014695745.1	Leptolyngbya sp. FACHB-671		FACHB-671				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7360226	Contig	2020-09-22	JACJOV01
GCF_014695615.1	Leptolyngbya sp. FACHB-711		FACHB-711				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6345842	Contig	2020-09-22	JACJOR01
GCA_014695615.1	Leptolyngbya sp. FACHB-711		FACHB-711				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6345842	Contig	2020-09-22	JACJOR01
GCF_014695575.1	Leptolyngbya sp. FACHB-8		FACHB-8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6927450	Contig	2020-09-22	JACJOO01
GCA_014695575.1	Leptolyngbya sp. FACHB-8		FACHB-8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6927450	Contig	2020-09-22	JACJOO01
GCF_000482245.1	Leptolyngbya sp. Heron Island J		Heron Island J				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8064168	Contig	2013-10-25	AWNH01
GCA_000482245.1	Leptolyngbya sp. Heron Island J		Heron Island J				NCBI Prokaryotic Genome Annotation Pipeline	8064168	Contig	2013-10-25	AWNH01
GCA_003724315.1	Leptolyngbya sp. IPPAS B-1204				IPPAS B-1204		NCBI Prokaryotic Genome Annotation Pipeline	8174685	Contig	2018-11-13	RHGL01
GCF_000763385.1	Leptolyngbya sp. KIOST-1		KIOST-1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6320123	Contig	2014-10-03	JQFA01
GCA_000763385.1	Leptolyngbya sp. KIOST-1		KIOST-1					6320123	Contig	2014-10-03	JQFA01
GCA_007692715.1	Leptolyngbya sp. LCM1.Bin17				LCM1.Bin17		NCBI Prokaryotic Genome Annotation Pipeline	4618092	Contig	2019-07-30	REBM01
GCF_001485215.1	Leptolyngbya sp. NIES-2104		NIES-2104				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6386310	Contig	2015-10-31	BBWW01
GCA_001485215.1	Leptolyngbya sp. NIES-2104		NIES-2104				Annotation submitted by National Institute for Environmental Studies	6386310	Contig	2015-10-31	BBWW01
GCA_021405265.1	Leptolyngbya sp. PL-A2				PLA2		NCBI Prokaryotic Genome Annotation Pipeline	3188741	Contig	2022-01-10	QWIG01
GCA_021405305.1	Leptolyngbya sp. PL-A3				PLA3		NCBI Prokaryotic Genome Annotation Pipeline	3534098	Contig	2022-01-10	QWIF01
GCA_021405315.1	Leptolyngbya sp. PLA1				PLA1		NCBI Prokaryotic Genome Annotation Pipeline	3406533	Contig	2022-01-10	QWIH01
GCA_012032425.1	Leptolyngbya sp. RL_3_1				RL_3_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3943201	Contig	2020-04-05	JAAUQE01
GCA_010672895.1	Leptolyngbya sp. SIO1D8				SIO1D8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7757312	Contig	2020-02-16	JAAHFR01
GCA_010672825.2	Leptolyngbya sp. SIO1E4				SIO1E4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8222681	Contig	2020-10-28	JAAHFU02
GCA_010671975.1	Leptolyngbya sp. SIO4C1				SIO4C1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5299755	Contig	2020-02-16	JAAHIA01
GCA_010671965.1	Leptolyngbya sp. SIO4C5				SIO4C5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5604439	Contig	2020-02-16	JAAHIC01
GCA_017302695.1	Leptolyngbya sp. UWPOB_LEPTO1				UWPOB_LEPTO1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6800371	Contig	2021-03-08	JAFLCJ01
GCA_015272515.1	Leptolyngbyaceae cyanobacterium C42_A2020_001				C42_A2020_001		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5550306	Contig	2020-11-06	JACYLN01
